"IDRSSD"	FDIC Certificate Number	OCC Charter Number	OTS Docket Number	Primary ABA Routing Number	Financial Institution Name	Financial Institution Address	Financial Institution City	Financial Institution State	Financial Institution Zip Code	Financial Institution Filing Type	Last Date/Time Submission Updated On
651121	20568	0	15993	53103682	LUMBEE GUARANTY BANK	403 EAST THIRD STREET 	PEMBROKE	NC	28372	051	2022-07-15T13:55:24
651149	16151	0	0	73921954	STATE BANK	728 NORTH GRAND AVENUE 	SPENCER	IA	51301	051	2022-07-06T13:53:03
651158	13381	0	0	81505184	NORTHEAST MISSOURI STATE BANK	600 SOUTH BALTIMORE 	KIRKSVILLE	MO	63501	051	2022-07-25T14:37:35
651354	13413	0	0	101104973	KAW VALLEY STATE BANK	739 MAIN STREET 	EUDORA	KS	66025	051	2022-07-22T16:05:56
651448	21761	0	0	72412927	JPMORGAN CHASE BANK, DEARBORN	14901 FORD ROAD 	DEARBORN	MI	48126	031	2022-07-29T12:02:18
651541	14413	0	11762	73901880	IOWA STATE BANK AND TRUST COMPANY	55 SOUTH 4TH STREET 	FAIRFIELD	IA	52556	051	2022-07-21T10:44:05
651756	17244	0	0	102000924	BANK OF DENVER, THE	810 EAST 17TH AVENUE 	DENVER	CO	80218	051	2022-07-25T11:59:11
651859	16191	0	0	92905249	STOCKMAN BANK OF MONTANA	700 MAIN STREET 	MILES CITY	MT	59301	041	2022-07-22T17:39:29
651952	3179	7534	0	113104880	FIRST NATIONAL BANK OF EAGLE LAKE, THE	100 COMMERCE STREET 	EAGLE LAKE	TX	77434	051	2022-07-27T11:15:49
652043	11767	0	9867	73913218	FREEDOMBANK	210 SOUTH MAIN STREET 	ELKADER	IA	52043	051	2022-07-25T10:46:29
652070	31232	706581	6581	264171267	HIGHLAND FEDERAL SAVINGS & LOAN ASSOCIATION	106 SOUTH MAIN STREET, SUITE 103 	CROSSVILLE	TN	38555	051	2022-07-27T16:12:56
652874	29209	0	0	311973208	NEXBANK	2515 MCKINNEY AVENUE, 11TH FLOOR 	DALLAS	TX	75201	041	2022-07-28T17:47:38
652959	15853	0	0	101112716	FARMERS STATE BANK	412 WEST COMMERCIAL 	FAIRVIEW	KS	66425	051	2022-07-25T14:37:47
652977	27918	700544	544	211372051	FOXBORO FEDERAL SAVINGS	1 CENTRAL STREET 	FOXBORO	MA	02035	051	2022-07-25T15:43:25
653134	9327	0	0	65201530	FARMERS-MERCHANTS BANK & TRUST COMPANY	101 SOUTH MAIN STREET 	BREAUX BRIDGE	LA	70517	051	2022-07-26T11:51:00
653433	11680	0	0	71111339	FARMERS STATE BANK OF WESTERN ILLINOIS	124 WEST D STREET 	ALPHA	IL	61413	051	2022-07-26T09:41:43
653611	10677	0	0	31312055	JONESTOWN BANK AND TRUST COMPANY	2 W. MARKET STREET 	JONESTOWN	PA	17038	051	2022-07-15T11:01:11
653778	28080	0	866	242272214	HARRISON BUILDING AND LOAN ASSOCIATION, THE	10490 NEW HAVEN RD. 	HARRISON	OH	45030	051	2022-07-21T13:54:39
653947	14867	0	10587	73920638	HOME STATE BANK	115 WEST STATE STREET 	JEFFERSON	IA	50129	051	2022-07-29T15:20:07
654047	12893	0	10423	72404197	FIRST STATE BANK OF DECATUR	124 SOUTH PHELPS STREET 	DECATUR	MI	49045	051	2022-07-14T15:46:13
654300	90229	0	10862	211374004	WASHINGTON SAVINGS BANK	30 MIDDLESEX ST 	LOWELL	MA	01852	041	2022-07-28T12:06:29
654579	30065	0	4674	274970652	PEOPLES COMMUNITY BANK SB OF MONTICELLO, INDIANA	126 CONSTITUTION PLAZA 	MONTICELLO	IN	47960	051	2022-07-29T11:31:36
655530	11681	0	12318	71111371	ANCHOR STATE BANK	246 2ND STREET 	ANCHOR	IL	61720	051	2022-10-13T15:20:42
655839	16595	0	11147	62105778	CCB COMMUNITY BANK	225 EAST THREE NOTCH STREET 	ANDALUSIA	AL	36420	051	2022-07-28T14:46:00
656032	14674	14244	13187	71911364	FIRST NATIONAL BANK IN AMBOY, THE	220 EAST MAIN 	AMBOY	IL	61310	051	2022-07-25T09:28:50
656377	28088	0	0	325070980	WASHINGTON FEDERAL BANK	425 PIKE STREET 	SEATTLE	WA	98101	041	2022-07-25T15:02:16
656470	17964	0	0	124301779	STATE BANK OF SOUTHERN UTAH	377 NORTH MAIN STREET 	CEDAR CITY	UT	84721	051	2022-07-21T16:25:49
656658	26738	0	0	111310391	TEXAS FINANCIAL BANK DBA THE EDEN STATE BANK	220 JACKSON STREET 	EDEN	TX	76837	051	2022-07-18T17:10:27
656779	27767	700244	244	271172275	UNION FEDERAL SAVINGS AND LOAN ASSOCIATION	104 NORTH TREMONT STREET 	KEWANEE	IL	61443	051	2022-07-27T17:43:30
657178	30072	0	4683	221270677	SCHUYLER SAVINGS BANK	24 DAVIS AVE 	KEARNY	NJ	07032	051	2022-07-29T10:30:10
657271	27774	700257	257	291370918	GATE CITY BANK	500 2ND AVENUE NORTH 	FARGO	ND	58102	041	2022-07-28T16:31:18
657365	24170	0	0	122039399	HANMI BANK	3660 WILSHIRE BOULEVARD, PH-A 	LOS ANGELES	CA	90010	041	2022-08-03T17:19:46
657459	1058	0	0	81000676	MIDWEST BANKCENTRE	2191 LEMAY FERRY ROAD 	SAINT LOUIS	MO	63125	041	2022-07-25T17:11:25
657758	1972	0	0	92900985	CITIZENS BANK & TRUST COMPANY	130 MCLEOD ST. 	BIG TIMBER	MT	59011	051	2022-07-25T11:33:26
657954	16339	0	0	104113660	TRI-COUNTY BANK, THE	106 NORTH MAIN 	STUART	NE	68780	051	2022-07-26T10:47:20
658072	29231	703136	3136	231372329	COUNTY SAVINGS BANK	412 WANAMAKER AVE 	ESSINGTON	PA	19029	051	2022-07-26T15:55:50
658474	28103	700904	904	281070901	COLLINSVILLE BUILDING AND LOAN ASSOCIATION	701 BELTLINE ROAD 	COLLINSVILLE	IL	62234	051	2022-07-22T10:45:12
658924	22888	0	0	51404545	FARMERS AND MINERS BANK	41526 WEST MORGAN AVENUE 	PENNINGTON GAP	VA	24277	051	2022-07-18T12:48:34
659341	16276	14510	0	81904798	BANK OF HILLSBORO, NATIONAL ASSOCIATION	230 SOUTH MAIN STREET 	HILLSBORO	IL	62049	051	2022-07-18T12:23:25
659556	12214	0	0	81517677	UNITED STATE BANK	102 WEST MAIN STREET 	LEWISTOWN	MO	63452	041	2022-07-27T11:13:44
659640	15817	0	0	84202743	GENESIS BANK	202 MAIN STREET 	BENOIT	MS	38725	051	2022-07-24T15:55:25
659734	3598	0	0	71106344	ARCOLA FIRST BANK	127 SOUTH OAK 	ARCOLA	IL	61910	051	2022-07-27T17:38:44
659855	1105	0	0	92901683	FIRST INTERSTATE BANK	401 NORTH 31ST STREET 	BILLINGS	MT	59101	041	2022-07-29T17:59:11
660066	15939	0	0	114922003	PEOPLES STATE BANK	MAIN & WELLS 	ROCKSPRINGS	TX	78880	051	2022-08-11T09:33:39
660253	9822	0	0	104908846	STATE BANK OF TABLE ROCK	402 HOUSTON STREET 	TABLE ROCK	NE	68447	051	2022-07-08T12:43:17
660271	28105	23393	0	281271438	FIRST ROBINSON SAVINGS BANK, NATIONAL ASSOCIATION	501 EAST MAIN STREET 	ROBINSON	IL	62454	051	2022-07-22T14:38:13
660570	30085	0	4716	231372028	PRESENCE BANK	185 E. LINCOLN HIGHWAY 	COATESVILLE	PA	19320	051	2022-07-27T13:51:12
660655	19300	15435	0	104000854	AMERICAN NATIONAL BANK	8990 WEST DODGE ROAD 	OMAHA	NE	68114	051	2022-07-25T13:32:05
660879	32018	0	0	313173938	ANGELINA SAVINGS BANK, SSB	1721 TULANE DRIVE 	LUFKIN	TX	75901	051	2022-07-22T13:21:21
660927	19101	0	16596	55001070	HARFORD BANK	8 WEST BEL AIR AVENUE 	ABERDEEN	MD	21001	041	2022-08-08T13:57:55
661072	30084	0	4715	242370776	MERCER SAVINGS BANK	1100 IRMSCHER BOULEVARD 	CELINA	OH	45822	041	2022-07-20T10:35:38
661157	16905	0	0	104113767	BANK OF ORCHARD	145 E 2ND STREET 	ORCHARD	NE	68764	051	2022-07-14T10:59:54
661223	11582	0	13526	51404163	LEE BANK AND TRUST COMPANY	600 WEST MORGAN AVENUE 	PENNINGTON GAP	VA	24277	041	2022-07-30T21:52:03
661308	622	0	9297	26003379	AMALGAMATED BANK	275 SEVENTH AVENUE 	NEW YORK	NY	10001	041	2022-08-02T09:08:34
661474	29238	703150	3150	253272533	WOODRUFF FEDERAL SAVINGS AND LOAN ASSOCIATION	247 NORTH MAIN STREET 	WOODRUFF	SC	29388	051	2022-07-28T14:42:54
662350	1163	0	0	104913255	WAHOO STATE BANK	164 E 5TH STREET 	WAHOO	NE	68066	051	2022-10-03T15:19:16
662369	22597	0	0	121137027	BANK OF THE SIERRA	90 NORTH MAIN STREET 	PORTERVILLE	CA	93257	041	2022-07-28T18:05:15
662949	15808	0	0	73000794	IOWA STATE BANK	627 EAST LOCUST 	DES MOINES	IA	50309	051	2022-07-26T09:31:24
663058	20310	0	0	92901214	ROCKY MOUNTAIN BANK	2615 KING AVENUE WEST 	BILLINGS	MT	59108	041	2022-07-26T10:04:59
663245	3890	0	0	82900432	SIMMONS BANK	501-505 MAIN STREET 	PINE BLUFF	AR	71601	041	2022-07-27T12:05:40
663638	899	0	0	71111407	GERBER STATE BANK, THE	110 EAST ELM STREET 	ARGENTA	IL	62501	051	2022-08-09T15:42:22
663656	25744	0	0	101105118	SMALL BUSINESS BANK	13423 WEST 92ND STREET 	LENEXA	KS	66215	051	2022-08-15T15:05:13
663834	24156	0	30742	66011392	OCEAN BANK	780 NORTHWEST 42ND AVENUE 	MIAMI	FL	33126	041	2022-07-29T20:03:58
663955	14327	0	0	104905784	HORIZON BANK	10841 NORTH 142ND 	WAVERLY	NE	68462	051	2022-07-29T15:42:26
664176	27799	0	299	231372798	WILLIAM PENN BANK	10 CANAL STREET SUITE 104	BRISTOL	PA	19007	051	2022-07-28T11:09:00
664206	23287	0	8138	211371078	CAPE COD FIVE CENTS SAVINGS BANK	1500 IYANNOUGH ROAD 	HYANNIS	MA	02601	041	2022-07-29T11:51:27
664653	27026	21158	0	102007273	NATIVE AMERICAN BANK, NATIONAL ASSOCIATION	201 N. BROADWAY 	DENVER	CO	80203	051	2022-07-27T16:46:31
664756	16835	0	0	113122655	PROSPERITY BANK	1301 NORTH MECHANIC STREET 	EL CAMPO	TX	77437	041	2022-07-29T13:04:51
665146	8761	0	0	73904696	KERNDT BROTHERS SAVINGS BANK	370 MAIN STREET 	LANSING	IA	52151	051	2022-07-26T15:47:31
665258	3184	8575	0	111307841	FIRST NATIONAL BANK OF ELDORADO, THE	100 MAIN STREET 	ELDORADO	TX	76936	051	2022-07-12T12:13:48
665865	19358	0	0	113114896	ROUND TOP STATE BANK	301 NORTH WASHINGTON STREET HIGHWAY 237 NORTH	ROUND TOP	TX	78954	051	2022-07-26T09:57:38
666059	9797	0	0	81519549	M1 BANK	112 SOUTH HANLEY ROAD, SUITE 120 	CLAYTON	MO	63105	051	2022-07-21T16:17:00
666358	22502	0	0	92901489	FIRST CITIZENS BANK OF BUTTE	3220 HARRISON AVE. 	BUTTE	MT	59701	051	2022-07-26T18:10:27
666554	17145	0	0	104908383	HERITAGE BANK	110 EAST 9TH STREET 	WOOD RIVER	NE	68883	051	2022-07-30T14:37:29
666844	11667	0	15448	71110000	VERMILION VALLEY BANK	4 EAST PEORIA 	PIPER CITY	IL	60959	051	2022-07-21T14:20:33
666974	27806	700311	311	244171245	FAIRFIELD FEDERAL SAVINGS AND LOAN ASSOCIATION OF LANCASTER	111 EAST MAIN STREET 	LANCASTER	OH	43130	051	2022-07-20T15:55:55
667029	16620	0	0	43404443	UNION BANK, INC.	103 DODD STREET 	MIDDLEBOURNE	WV	26149	051	2022-07-14T08:41:42
667252	358	0	0	92902488	STOCKMENS BANK	117 CENTRAL AVE. 	CASCADE	MT	59421	051	2022-07-19T13:04:00
667346	5722	0	0	71110369	PHILO EXCHANGE BANK	102 WEST WASHINGTON STREET 	PHILO	IL	61864	051	2022-07-19T12:34:21
667524	14491	0	0	51404752	BANK OF CHARLOTTE COUNTY, THE	101 BERKLEY STREET 	PHENIX	VA	23959	041	2022-08-11T10:28:18
667551	8390	0	0	91303855	LINCOLN STATE BANK	302 MAIN AVENUE SOUTH 	HANKINSON	ND	580410250	051	2022-07-27T17:51:55
667757	12614	0	0	111102758	ORIGIN BANK	3921 ELM STREET 	CHOUDRANT	LA	71227	041	2022-08-16T10:27:57
668053	3934	0	0	91301585	ASPIRE BANK	5195 45TH STREET SOUTH 	FARGO	ND	58104	051	2022-07-21T16:25:38
668147	14705	0	10949	73904638	DE WITT BANK & TRUST CO.	815 6TH AVENUE 	DE WITT	IA	527420260	051	2022-08-12T08:36:18
669555	13255	0	0	104102192	MIDWEST BANK	114 WEST MAIN 	PIERCE	NE	687670619	051	2022-07-29T09:11:29
670430	2779	10697	17632	62104520	FIRST NATIONAL BANK AND TRUST	111 SOUTH MAIN STREET 	ATMORE	AL	36502	051	2022-07-22T17:08:41
670467	23275	0	0	121138288	PLUMAS BANK	35 SOUTH LINDAN AVENUE 	QUINCY	CA	95971	051	2022-07-26T17:56:08
670560	26732	18608	0	122041358	DEUTSCHE BANK NATIONAL TRUST COMPANY	2000 AVENUE OF THE STARS 	LOS ANGELES	CA	90067	041	2022-07-28T11:44:52
670654	20657	0	0	92901298	FIRST SECURITY BANK OF DEER LODGE	311 MILWAUKEE 	DEER LODGE	MT	59722	051	2022-07-14T18:05:50
670748	16900	0	11505	71122056	PRINCEVILLE STATE BANK	142 EAST MAIN STREET 	PRINCEVILLE	IL	61559	051	2022-07-25T16:27:35
670878	27824	0	349	211472977	SALEM CO-OPERATIVE BANK	3 SOUTH BROADWAY 	SALEM	NH	03079	051	2022-07-27T13:42:25
671053	15784	0	0	101102373	STOCK EXCHANGE BANK	103 SOUTH MAIN 	CALDWELL	KS	67022	051	2022-08-24T09:07:41
671147	8101	0	12108	73902313	PRIMEBANK	37 1ST AVENUE NORTHWEST 	LE MARS	IA	51031	051	2022-07-28T10:03:03
671334	19333	0	12444	71001180	REPUBLIC BANK OF CHICAGO	2221 CAMDEN COURT 	OAK BROOK	IL	60523	041	2022-07-29T08:27:38
671464	26610	0	0	122041235	BANK OF HOPE	3200 WILSHIRE BOULEVARD, SUITE 1400 	LOS ANGELES	CA	90010	041	2022-07-29T17:29:21
671558	1060	0	0	101901833	WOOD & HUSTON BANK	27 EAST NORTH STREET 	MARSHALL	MO	65340	051	2022-07-25T10:51:33
672238	3601	3711	14570	71107563	ATLANTA NATIONAL BANK, THE	105 SOUTHWEST CHURCH STREET 	ATLANTA	IL	61723	051	2022-07-27T15:36:41
672247	10382	0	0	75901037	FARMERS & MERCHANTS BANK & TRUST	1644 LUDINGTON STREET 	MARINETTE	WI	54143	051	2022-07-25T14:38:32
672537	54	0	9285	62204129	EXCHANGE BANK OF ALABAMA, THE	7170 6TH AVENUE 	ALTOONA	AL	35952	041	2022-10-12T09:59:55
672573	28155	0	1007	211470238	PROFILE BANK	45 WAKEFIELD STREET BOX 1808	ROCHESTER	NH	03867	051	2022-07-28T09:33:58
673244	10492	0	12525	73907541	FARMERS & MERCHANTS SAVINGS BANK	2235 MORMON TREK BOULEVARD 	IOWA CITY	IA	52246	051	2022-07-25T12:44:25
673440	5633	0	0	82901538	FIRST SECURITY BANK	314 NORTH SPRING STREET 	SEARCY	AR	72143	041	2022-08-01T16:23:10
673477	27841	700375	375	242170086	CITIZENS FEDERAL SAVINGS AND LOAN ASSOCIATION OF COVINGTON	433 MADISON AVENUE 	COVINGTON	KY	41011	051	2022-07-29T10:44:37
673851	17671	0	0	101015046	BANK OF PRAIRIE VILLAGE	3515 WEST 75TH STREET 	PRAIRIE VILLAGE	KS	66208	051	2022-07-11T11:47:47
673909	90211	0	8328	211370370	HINGHAM INSTITUTION FOR SAVINGS	55 MAIN STREET 	HINGHAM	MA	02043	041	2022-07-28T08:57:37
674344	9526	0	0	75905994	PINERIES BANK, THE	3601 MAIN STREET 	STEVENS POINT	WI	54481	051	2022-07-27T20:22:36
674849	253	0	10130	73914356	LUANA SAVINGS BANK	100 HARVEST DRIVE 	LUANA	IA	52156	051	2022-07-28T12:39:19
675042	14649	0	0	104905742	COMMUNITY BANK	601 IOWA AVENUE 	DUNLAP	IA	51529	041	2022-07-21T17:19:14
675051	24272	0	0	113012163	CHASEWOOD BANK, THE	20333 STATE HIGHWAY 249 	HOUSTON	TX	770702613	051	2022-07-26T15:05:09
675079	31936	0	7624	313173792	FAYETTE SAVINGS BANK, SSB	111 E TRAVIS 	LA GRANGE	TX	789452614	041	2022-07-21T09:42:14
675248	12661	0	0	75907581	GREENLEAF BANK	1608 DAY STREET 	GREENLEAF	WI	54126	051	2022-07-27T16:35:48
675341	10120	0	0	73917748	AMERICAN TRUST & SAVINGS BANK	309 MCKINLEY AVENUE 	LOWDEN	IA	52255	051	2022-07-28T15:42:14
675659	2057	0	0	91310916	STATE BANK & TRUST OF KENMARE	4 NW SECOND STREET 	KENMARE	ND	58746	051	2022-07-21T14:57:56
675855	24443	17735	0	111103168	PROGRESSIVE NATIONAL BANK	300 WASHINGTON AVE 	MANSFIELD	LA	71052	051	2022-07-19T15:16:53
676049	5623	0	0	82906546	SMACKOVER STATE BANK	708 NORTH BROADWAY 	SMACKOVER	AR	71762	051	2022-08-16T14:58:47
676151	19396	0	0	91310495	UNISON BANK	401 1ST. AVE. S. 	JAMESTOWN	ND	58401	051	2022-07-27T18:30:14
676478	27861	25153	0	231373179	MALVERN BANK NA	34 E. LANCASTER AVENUE 	PAOLI	PA	19301	051	2022-07-28T16:21:23
677176	31945	707635	7635	21300912	TRUSTCO BANK	5 SARNOWSKI DRIVE 	GLENVILLE	NY	12302	041	2022-08-23T14:32:50
677354	4638	13329	0	101105257	FIRST NATIONAL BANK IN CIMARRON	121 NORTH MAIN STREET 	CIMARRON	KS	67835	041	2022-07-15T09:58:07
677448	5821	0	0	73914411	FIRST STATE BANK	413 EAST STREET 	LYNNVILLE	IA	50153	051	2022-07-19T15:09:06
677644	16216	0	0	82907477	FARMERS & MERCHANTS BANK, THE	708 SOUTH MAIN STREET 	STUTTGART	AR	72160	051	2022-07-29T10:50:51
677756	21728	0	0	91310602	FARMERS AND MERCHANTS STATE BANK	816 THIRD STREET 	LANGDON	ND	58249	051	2022-07-22T15:17:53
677970	29933	704369	4369	274971101	UNION SAVINGS AND LOAN ASSOCIATION	730 NORTH CENTRAL AVENUE 	CONNERSVILLE	IN	47331	051	2022-08-23T13:11:50
678052	18942	0	0	113101524	BANK OF SAN JACINTO COUNTY, COLDSPRING, TEXAS, THE	100 HIGHWAY 150 	COLDSPRING	TX	77331	051	2022-08-19T12:09:43
678070	30154	0	4856	243374124	SEWICKLEY SAVINGS BANK	531 BROAD STREET 	SEWICKLEY	PA	15143	041	2022-07-29T15:07:33
678258	16477	0	0	91301064	STATE BANK OF LAKOTA	125 MAIN ST 	LAKOTA	ND	58344	051	2022-07-21T10:45:59
678454	9320	0	0	111102075	MARION STATE BANK	345 MAIN STREET 	MARION	LA	71260	041	2022-08-15T12:09:28
678557	5830	0	0	101101976	CITIZENS STATE BANK AND TRUST COMPANY	610 OREGON 	HIAWATHA	KS	66434	041	2022-07-22T11:18:35
678744	1550	0	0	73905608	CENTRAL STATE BANK	102 NORTH MAIN 	ELKADER	IA	52043	041	2022-07-25T13:18:34
679451	15259	0	0	101103754	ELK STATE BANK	328 WASHINGTON 	CLYDE	KS	66938	051	2022-07-19T14:50:42
680055	10249	0	0	91310783	UNITED COMMUNITY BANK OF NORTH DAKOTA	105 CENTRAL AVENUE SOUTH 	LEEDS	ND	58346	041	2022-07-26T15:36:02
680130	8033	0	13649	61010220	CITIZENS TRUST BANK	965 MLK JR. DRIVE, NW 	ATLANTA	GA	30314	041	2022-08-16T11:40:06
680354	1143	0	0	101101950	BANK OF BLUE VALLEY	11935 RILEY STREET 	OVERLAND PARK	KS	66213	041	2022-07-26T11:46:46
680457	1978	0	0	92905142	YELLOWSTONE BANK, THE	12 1ST AVE. 	LAUREL	MT	59044	051	2022-08-01T18:42:10
680747	15126	0	0	75907808	FARMERS STATE BANK-HILLSBORO	726 WATER AVENUE 	HILLSBORO	WI	54634	051	2022-07-14T12:59:48
680813	6540	3654	0	41209080	FARMERS NATIONAL BANK OF CANFIELD, THE	20 SOUTH BROAD STREET 	CANFIELD	OH	44406	041	2022-07-27T14:13:17
681043	18508	0	10143	73922377	FIRST SECURITY STATE BANK	3600 LAFAYETTE ROAD 	EVANSDALE	IA	50707	051	2022-07-18T17:27:32
681249	6198	0	0	75905554	HIGHLAND STATE BANK	541 MAIN STREET 	HIGHLAND	WI	53543	051	2022-07-12T16:49:09
682143	14073	14062	11305	72402694	COUNTY NATIONAL BANK	ONE SOUTH HOWELL STREET 	HILLSDALE	MI	49242	051	2022-07-28T08:59:57
682563	5510	0	0	114000093	FROST BANK	111 WEST HOUSTON STREET 	SAN ANTONIO	TX	782051457	041	2022-08-12T12:09:09
682648	8083	0	0	73913195	FAIRFAX STATE SAVINGS BANK	409 VANDERBILT STREET 	FAIRFAX	IA	52228	051	2022-07-25T10:47:11
683449	17903	0	0	73922351	MAQUOKETA STATE BANK	203 NORTH MAIN STREET 	MAQUOKETA	IA	52060	051	2022-07-19T12:26:55
683814	267	0	0	42101572	KENTUCKY FARMERS BANK CORPORATION	6313 US ROUTE 60 	ASHLAND	KY	41102	051	2022-07-29T00:06:14
684455	1373	0	0	111102114	BOM BANK	814 WASHINGTON STREET 	NATCHITOCHES	LA	71457	051	2022-07-28T10:32:39
685023	6638	5259	0	44106397	CITIZENS NATIONAL BANK OF MCCONNELSVILLE, THE	100 EAST MAIN STREET 	MCCONNELSVILLE	OH	43756	051	2022-08-03T12:32:31
685649	20666	0	10055	71923857	NORTHWEST BANK OF ROCKFORD	3106 NORTH ROCKTON AVENUE 	ROCKFORD	IL	61103	041	2022-07-25T16:54:01
685676	30182	0	0	292070806	OPPORTUNITY BANK OF MONTANA	1400 PROSPECT AVENUE 	HELENA	MT	59601	051	2022-07-28T12:19:47
685779	27932	700566	566	291271240	RIVERWOOD BANK	14540 DELLWOOD DRIVE 	BAXTER	MN	56425	051	2022-07-22T15:43:48
686459	1616	0	0	101917623	EXCHANGE BANK OF MISSOURI	101 SOUTH CHURCH STREET 	FAYETTE	MO	65248	041	2022-07-23T11:27:54
686570	28983	702722	2722	291571267	LADYSMITH FEDERAL SAVINGS & LOAN ASSOCIATION	119 W. FOURTH ST. N. 	LADYSMITH	WI	54848	051	2022-08-04T13:24:25
686758	11013	0	0	92902271	FIRST STATE BANK OF SHELBY, THE	320 MAIN STREET 	SHELBY	MT	59474	051	2022-07-15T18:09:07
687009	19953	0	0	21205376	LAKELAND BANK	2717 STATE RT 23 	NEWFOUNDLAND	NJ	07435	041	2022-08-17T16:52:09
687054	21529	0	0	111102208	BANK OF OAK RIDGE	105 N. OAK 	OAK RIDGE	LA	71264	051	2022-07-28T15:49:49
687830	10446	0	13930	71112260	FREDERICK COMMUNITY BANK, THE	106 NORTH MARKET STREET 	PAXTON	IL	60957	051	2022-07-19T15:35:45
687951	19123	0	0	91310440	FIRST WESTERN BANK AND TRUST	900 SOUTH BROADWAY 	MINOT	ND	58701	041	2022-09-07T18:09:47
688079	13718	2597	0	124303191	WELLS FARGO TRUST COMPANY, NATIONAL ASSOCIATION	2389 WASHINGTON BOULEVARD 	OGDEN	UT	84401	031	2022-07-29T13:45:47
688257	22551	0	0	111923937	FIRST TEXAS BANK	3514 SOUTH W S YOUNG DRIVE 	KILLEEN	TX	76542	051	2022-07-26T12:26:56
688453	8632	0	0	91308795	CITIZENS STATE BANK AT MOHALL, THE	102 WEST MAIN STREET 	MOHALL	ND	58761	051	2022-07-27T09:42:57
688556	14701	0	0	81517965	BANK OF NEW MADRID	229 MAIN STREET 	NEW MADRID	MO	63869	051	2022-10-05T14:09:25
689209	23992	0	5068	211870980	COUNTRY BANK FOR SAVINGS	75 MAIN STREET 	WARE	MA	01082	041	2022-07-28T12:38:06
689357	16659	0	0	91000132	NORTHEAST BANK	77 BROADWAY ST. N.E. 	MINNEAPOLIS	MN	55413	041	2022-07-21T16:39:07
689759	22242	0	0	91001319	UNION BANK AND TRUST COMPANY	312 CENTRAL AVE. 	MINNEAPOLIS	MN	55414	051	2022-07-28T10:17:13
691042	107	0	0	82901648	MERCHANTS & PLANTERS BANK, THE	297 MADISON 	CLARENDON	AR	72029	051	2022-07-22T14:43:41
691556	19188	0	0	91014458	FIRST MINNETONKA CITY BANK	14550 EXCELSIOR BLVD. 	MINNETONKA	MN	55345	051	2022-07-28T12:40:39
691743	11682	0	0	81219108	ANNA STATE BANK	100 EAST VIENNA STREET 	ANNA	IL	62906	051	2022-07-29T17:46:27
691958	8889	0	0	81019447	MIDWEST REGIONAL BANK	135 NORTH MERAMEC AVENUE 	CLAYTON	MO	63105	051	2022-07-12T08:45:26
692450	11002	0	0	101204792	ST. CLAIR COUNTY STATE BANK	680 SECOND STREET 	OSCEOLA	MO	64776	051	2022-07-21T16:58:41
692704	23741	17202	0	11060181	WELLINGTON TRUST COMPANY NATIONAL ASSOCIATION	75 STATE ST 	BOSTON	MA	02109	051	2022-08-02T09:31:14
692946	15703	0	0	83902060	TOWN & COUNTRY BANK AND TRUST COMPANY	201 NORTH THIRD STREET 	BARDSTOWN	KY	40004	041	2022-07-22T11:31:24
693073	29005	702753	2753	244170327	FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF CENTERBURG	5 EAST MAIN ST 	CENTERBURG	OH	43011	051	2022-08-19T16:08:22
693224	34589	0	10428	51403164	ATLANTIC UNION BANK	1051 EAST CARY STREET, SUITE 1200 	RICHMOND	VA	23219	041	2022-07-28T15:33:02
693345	4382	47	0	74900356	FIRST FINANCIAL BANK, NATIONAL ASSOCIATION	ONE FIRST FINANCIAL PLAZA 	TERRE HAUTE	IN	47807	041	2022-08-25T14:52:12
693952	11519	0	0	91310673	SECURITY FIRST BANK OF NORTH DAKOTA	700 ASH AVE. 	NEW SALEM	ND	58563	051	2022-07-19T18:01:18
694146	15930	0	16477	73921938	MAXWELL STATE BANK	122 MAIN STREET 	MAXWELL	IA	50161	051	2022-10-05T09:35:27
694771	6156	0	0	125103882	FARMERS STATE BANK	159 RIVERSIDE AVENUE 	WINTHROP	WA	98862	051	2022-07-18T16:40:34
694847	5015	0	9914	72404883	CENTURY BANK AND TRUST	100 WEST CHICAGO STREET 	COLDWATER	MI	49036	051	2022-07-25T16:07:08
694904	16022	0	11158	226071004	NEW YORK COMMUNITY BANK	102 DUFFY AVENUE 	HICKSVILLE	NY	11801	041	2022-07-28T12:01:29
695349	977	0	14326	72404977	TRI-COUNTY BANK	4190 MAIN STREET 	BROWN CITY	MI	48416	041	2022-07-26T15:09:37
695947	10883	0	0	81211795	BANK OF BLUFFS	115 NORTH BLUFFS STREET 	BLUFFS	IL	62621	051	2022-07-25T12:43:49
696047	11355	0	0	83904314	BEDFORD LOAN & DEPOSIT BANK	45 HIGHWAY 42 EAST 	BEDFORD	KY	40006	051	2022-07-29T17:11:43
696168	26704	0	0	322284928	BALBOA THRIFT AND LOAN ASSOCIATION	865 AMENA COURT 	CHULA VISTA	CA	91910	051	2022-07-28T21:19:12
696430	12815	18763	12535	71918765	HOME STATE BANK/NATIONAL ASSOCIATION	40 GRANT STREET 	CRYSTAL LAKE	IL	60014	051	2022-07-28T10:24:33
696645	14225	5842	0	74905319	HOME NATIONAL BANK OF THORNTOWN, THE	117 EAST MAIN STREET 	THORNTOWN	IN	46071	041	2022-07-21T09:57:15
